previous_marks,current_marks,difficulty,days_remaining,confidence,previous_study_hours,available_hours,recommended_study_hours
84,49,5,5,3,31.2,1.7,33.52
59,63,1,60,3,14.5,2.2,13.88
89,75,4,42,2,46.7,2.2,21.65
91,91,2,59,4,6.1,4.7,9.95
66,91,2,20,2,40.4,1.5,15.08
94,70,2,15,4,20.7,5.1,19.51
54,41,2,28,3,17.5,1.3,24.67
62,81,5,28,5,19.9,1.1,19.21
56,51,5,19,1,9.9,3.2,33.67
60,67,5,35,1,22.3,3.9,27.45
85,67,1,36,5,35.9,5.7,12.77
52,63,4,7,3,33.0,4.3,24.16
59,72,3,45,4,19.7,4.5,16.73
52,66,4,46,2,32.7,2.5,24.01
40,59,3,16,4,40.4,4.0,18.78
68,68,2,35,4,40.7,5.8,15.12
82,45,3,35,5,20.1,5.1,24.6
83,59,2,54,2,11.6,1.2,25.19
79,94,1,32,4,44.9,3.9,7.23
64,71,4,18,2,34.5,1.0,24.27
89,46,4,17,2,41.2,4.5,32.47
75,55,1,32,2,41.1,4.3,22.22
78,60,4,42,5,24.2,5.5,20.86
50,87,4,31,3,38.8,5.2,16.55
89,73,4,43,2,17.4,1.4,23.62
57,61,3,60,5,8.6,1.8,16.57
49,85,2,7,4,23.3,3.7,14.21
53,93,4,27,5,47.6,1.1,13.49
76,64,4,3,3,18.4,2.9,29.66
93,66,5,50,5,41.0,5.5,22.72
57,67,4,4,4,20.1,4.4,23.61
50,93,4,11,5,29.0,5.5,15.15
82,41,1,44,4,11.1,3.3,20.27
64,60,2,32,3,20.2,5.4,17.91
93,66,3,56,1,26.2,4.7,24.42
62,54,1,52,1,38.9,5.7,20.13
41,79,2,18,2,26.3,1.6,18.7
69,84,3,52,3,12.6,4.0,17.31
47,89,2,22,1,31.0,5.6,16.57
64,65,2,7,5,36.1,4.1,14.57
89,59,5,54,1,40.8,3.8,30.64
74,67,3,7,5,34.1,1.1,18.71
71,46,4,26,4,36.8,3.2,27.13
81,57,5,54,5,39.9,3.3,25.61
77,57,3,57,2,42.4,1.4,26.35
55,88,4,39,5,35.1,2.7,13.32
60,51,4,16,3,40.9,2.7,27.99
84,57,5,3,5,47.7,1.4,29.5
71,75,2,47,4,34.1,3.5,14.15
45,58,2,28,2,18.8,3.9,20.73
73,62,4,50,5,19.9,4.5,19.19
56,54,1,49,2,19.2,4.7,21.13
84,51,2,16,4,17.4,3.9,23.62
78,58,1,56,2,18.3,2.8,19.56
85,74,2,20,1,48.8,3.8,20.63
48,80,4,9,1,30.8,3.3,25.59
51,43,3,58,4,10.1,1.3,23.36
76,80,1,12,2,41.5,5.7,13.6
55,47,5,51,4,32.3,5.0,25.83
73,64,4,31,3,43.7,6.0,22.01
79,43,5,50,1,47.6,2.0,34.92
82,45,2,18,2,29.8,1.8,26.94
84,78,4,21,1,15.4,4.5,25.35
69,44,2,19,5,34.8,5.7,19.61
74,54,2,20,2,8.2,1.8,23.18
87,92,5,21,4,10.6,4.4,18.58
57,72,5,34,4,8.6,1.2,21.57
60,78,3,4,1,15.3,4.4,26.88
77,41,3,39,1,39.3,1.9,31.8
68,57,2,40,4,33.6,3.5,16.06
62,66,3,23,1,43.6,2.6,23.77
58,82,4,55,5,6.7,1.4,14.41
47,89,4,58,5,42.1,1.0,14.41
69,66,1,15,5,21.3,4.8,12.71
88,43,2,20,5,10.9,2.4,24.1
71,47,1,43,5,41.0,4.5,15.51
40,75,4,8,2,49.7,5.6,24.35
47,81,2,34,3,27.9,2.4,15.3
70,55,4,38,2,22.3,5.6,27.86
48,95,1,20,4,20.3,4.9,5.96
40,58,3,56,5,31.1,4.3,18.43
68,74,4,25,3,29.8,3.7,20.13
60,95,2,47,2,30.7,2.2,14.18
42,60,4,48,4,22.4,4.3,22.61
49,71,1,11,5,48.4,2.7,9.5
94,68,1,36,4,5.7,1.7,16.81
49,44,4,53,3,20.2,4.5,27.69
94,61,5,27,3,33.2,5.4,28.56
74,42,5,7,2,33.4,5.6,39.54
87,45,4,9,1,25.0,4.5,38.81
42,60,1,21,3,21.9,1.7,15.97
76,83,2,13,2,8.6,5.4,18.37
55,71,5,12,2,25.8,2.3,26.55
40,91,4,60,3,35.5,1.8,16.5
62,77,3,43,4,36.1,3.3,14.23
64,94,4,9,2,22.2,2.8,20.47
84,58,1,56,4,17.4,3.8,17.72
87,43,5,50,4,42.5,5.5,32.13
54,78,3,17,2,32.9,4.4,20.55
82,83,2,43,1,45.7,4.2,16.26
68,42,5,26,2,9.1,2.5,35.42
51,52,2,53,5,44.4,2.8,15.28
57,93,2,19,4,48.5,2.5,10.68
91,47,4,7,2,38.9,2.1,35.79
83,65,5,26,1,40.6,1.1,30.23
69,63,3,40,4,42.0,5.7,16.67
54,70,1,42,5,19.8,4.1,10.5
80,92,4,47,3,34.2,1.6,14.76
42,59,4,10,1,15.6,3.7,29.79
63,82,5,29,5,38.4,1.8,16.61
46,93,4,42,4,47.3,2.4,14.74
53,68,4,18,3,9.5,4.4,22.79
81,62,1,28,3,13.5,1.6,18.99
69,45,2,44,5,48.7,1.3,18.27
48,90,5,16,1,42.3,3.8,24.58
92,95,2,24,2,40.5,4.0,11.89
49,48,5,19,2,9.9,5.3,29.48
62,90,2,40,3,5.7,2.3,11.34
66,73,1,50,1,26.4,4.9,17.16
46,68,5,17,5,7.0,4.9,22.91
73,59,4,44,1,7.7,3.4,28.98
83,46,4,48,4,8.3,1.4,28.68
44,48,3,42,5,29.7,2.6,20.99
73,58,4,35,5,24.4,5.0,19.63
81,81,5,49,2,24.4,5.4,23.22
92,69,4,29,1,19.1,2.6,26.95
49,83,4,7,1,42.4,1.5,23.76
87,63,2,38,1,31.4,3.8,23.18
47,66,3,58,4,44.1,4.6,18.85
78,59,3,9,5,27.8,1.8,21.44
94,46,3,57,5,21.5,4.8,24.75
91,67,5,52,5,32.6,4.2,20.63
82,93,3,4,2,17.3,4.8,22.07
62,40,2,58,2,30.5,3.0,24.85
80,41,1,50,5,14.7,3.1,19.12
63,59,3,52,5,31.8,5.4,15.77
88,79,1,46,1,17.2,4.3,17.03
68,66,3,16,5,10.1,3.1,16.33
83,77,4,36,3,7.0,3.0,21.39
40,53,3,16,2,39.4,2.4,23.2
71,87,4,14,2,22.1,4.5,21.44
93,82,3,7,4,43.8,1.2,16.21
44,95,3,39,4,30.8,4.5,11.25
47,65,1,23,2,41.1,4.1,17.6
63,45,4,57,1,15.9,3.9,32.42
65,95,3,50,3,15.0,4.9,12.36
80,47,5,35,2,45.8,2.7,33.94
92,81,2,18,1,11.6,2.0,20.46
88,88,1,14,4,25.9,3.8,9.94
83,76,5,23,3,11.8,1.3,23.41
59,90,3,40,1,20.8,1.4,18.72
42,43,3,56,3,8.5,5.3,26.07
79,78,5,27,4,31.1,5.8,21.02
42,68,5,44,2,19.5,3.4,24.92
43,68,1,54,3,49.2,1.4,14.01
42,55,4,31,5,28.5,1.8,19.64
58,64,4,52,3,35.6,1.3,22.66
61,44,3,9,5,35.5,2.4,24.98
82,78,2,24,1,31.2,1.7,18.26
81,84,4,11,5,36.9,1.4,16.58
81,90,3,55,2,35.2,5.1,17.4
83,73,1,44,4,27.9,1.1,11.3
53,61,4,15,2,50.0,1.8,24.73
90,46,5,52,5,42.6,5.4,26.57
61,89,5,11,5,22.0,1.8,19.62
89,79,2,49,4,7.0,2.8,14.87
68,79,3,51,4,15.5,2.2,17.1
90,70,2,26,5,49.3,3.3,12.65
64,72,5,29,2,41.8,5.0,23.4
56,43,4,58,3,30.0,1.5,29.18
94,47,3,8,2,17.3,5.5,31.87
67,45,2,55,4,44.8,5.7,20.52
65,72,3,18,4,49.8,2.9,14.22
46,93,3,53,2,11.2,2.4,17.88
84,93,2,51,4,25.2,1.0,7.96
56,53,2,38,5,28.7,1.6,14.99
59,47,1,18,4,33.8,4.1,16.04
93,71,5,37,1,33.4,3.9,30.37
58,67,1,42,3,15.8,3.1,15.28
45,73,3,7,5,29.5,4.9,17.3
41,64,4,5,4,49.1,2.3,21.54
90,44,3,18,1,39.7,4.7,31.94
42,62,5,24,2,42.4,4.4,28.75
70,80,2,54,2,7.8,4.9,16.6
58,52,1,53,2,44.9,2.6,18.59
65,92,5,33,3,6.6,4.2,19.05
95,89,1,58,3,17.3,5.0,10.53
65,87,4,60,4,20.3,1.9,16.76
63,91,5,20,1,37.7,1.4,23.58
92,51,5,21,3,9.6,2.6,31.29
68,78,4,13,4,20.8,1.2,21.01
62,79,4,20,1,8.4,4.2,23.4
91,87,2,4,2,43.2,4.4,18.46
48,44,2,52,3,21.3,5.7,20.09
49,83,4,26,3,25.0,1.4,17.2
63,65,3,44,3,16.2,1.6,20.96
71,73,4,38,1,16.8,2.3,24.68
79,58,4,15,1,11.1,1.4,30.11
85,68,1,54,3,35.1,4.5,15.75
58,59,2,48,2,40.7,3.5,18.46
52,90,2,18,4,6.2,3.8,10.79
91,75,2,42,1,8.0,3.0,22.23
70,73,4,52,4,42.1,1.4,20.03
81,44,4,32,5,20.5,5.4,27.41
80,77,2,52,2,24.5,5.6,15.39
47,73,2,22,2,12.3,5.7,16.93
73,58,1,19,2,33.6,3.8,18.14
59,79,5,8,5,33.8,4.0,21.01
50,82,5,49,5,20.2,5.6,15.66
95,41,1,5,5,16.9,2.1,25.23
79,80,1,34,5,18.0,5.8,7.89
91,91,4,22,4,8.3,1.3,15.31
70,69,2,24,5,11.5,5.3,12.23
95,62,4,11,3,28.2,1.5,27.27
47,57,4,18,2,9.4,2.5,26.35
79,66,2,58,2,41.6,5.7,20.74
52,88,2,34,5,26.0,5.4,8.61
45,65,5,32,2,14.7,2.8,25.26
71,78,4,21,5,5.4,1.5,14.77
56,86,3,51,4,21.5,3.0,13.94
52,63,5,21,1,22.4,3.3,29.43
92,79,5,10,2,48.9,3.0,28.21
61,75,3,51,2,14.0,3.5,20.08
42,42,2,48,3,41.2,3.6,19.96
72,48,3,42,3,12.3,6.0,26.89
59,77,3,35,5,29.0,4.5,12.43
92,41,3,24,1,49.1,3.9,34.11
86,95,1,41,4,16.9,4.3,8.88
77,76,2,49,1,31.3,1.9,19.48
79,89,4,12,2,6.4,5.7,20.45
41,68,3,29,2,23.6,2.0,21.2
79,70,1,48,2,28.3,3.8,18.54
70,73,4,23,2,25.7,3.7,22.81
83,89,3,42,4,13.7,2.2,13.52
54,59,3,48,2,36.1,3.4,22.54
75,90,3,21,1,30.8,3.7,20.16
65,92,3,52,2,18.1,2.4,17.41
62,68,3,50,4,14.6,5.1,16.55
75,84,3,11,1,32.7,3.9,20.94
82,73,2,43,2,7.4,3.1,19.95
46,83,2,3,5,49.0,1.8,13.79
70,70,2,51,3,19.5,4.2,18.05
45,81,5,17,5,38.2,5.3,16.05
51,66,2,5,4,40.5,1.9,19.33
95,58,1,3,3,30.6,1.5,25.86
58,69,5,36,4,45.0,1.7,21.37
57,52,1,24,2,37.9,4.2,20.34
40,87,3,53,3,30.6,4.8,13.88
94,80,4,55,4,28.2,1.4,19.23
51,48,4,23,2,5.3,2.9,28.33
57,61,3,40,5,5.5,4.3,17.91
43,82,1,32,3,12.2,4.4,13.43
85,89,3,47,1,33.7,5.7,18.16
54,54,2,33,2,25.5,5.9,20.93
84,75,4,51,5,41.1,5.1,17.71
83,88,5,58,1,28.6,3.6,23.49
76,47,1,56,5,45.6,2.0,16.78
50,60,5,31,1,35.6,4.6,29.39
72,68,1,32,2,28.1,3.3,14.69
69,83,3,49,1,22.8,5.1,21.2
77,44,1,30,3,36.5,3.7,20.15
44,70,1,21,4,13.1,1.7,12.67
86,81,4,26,4,25.2,5.6,17.05
45,83,5,11,3,10.3,6.0,23.41
48,86,2,56,1,39.0,5.9,16.48
86,74,4,37,4,42.1,2.2,18.52
57,52,1,5,4,32.7,5.7,20.93
55,53,1,9,5,6.5,4.0,17.47
43,55,1,28,4,15.5,2.1,16.49
43,48,5,21,2,41.7,4.7,28.92
78,89,3,18,3,44.4,5.9,14.95
66,59,3,6,5,47.7,5.4,22.12
80,83,4,38,4,7.1,2.7,17.76
64,90,5,23,4,23.4,2.5,16.53
74,70,2,57,2,18.5,4.5,20.07
43,75,4,29,5,28.8,2.9,15.16
61,81,1,31,3,9.2,4.6,10.79
57,64,5,41,1,44.3,1.9,29.42
86,82,5,16,4,14.4,5.5,20.28
40,53,2,50,1,38.6,4.8,24.9
84,78,2,28,2,29.8,4.9,16.63
74,81,3,22,3,21.2,5.4,16.53
91,86,4,51,3,46.1,2.9,17.57
76,95,2,50,2,5.7,3.8,14.17
86,66,3,12,2,19.8,2.9,27.04
71,75,3,19,4,48.5,4.2,15.26
50,86,3,13,2,37.4,3.4,20.6
74,81,1,36,1,42.8,1.4,16.29
43,88,1,29,2,42.9,2.2,12.44
40,53,5,32,3,7.7,4.2,29.4
70,82,4,4,1,28.9,3.1,24.8
86,57,5,21,1,27.6,4.5,32.89
51,46,1,36,2,15.8,4.1,20.34
62,57,4,8,3,48.2,3.3,25.63
84,54,3,46,1,34.4,5.3,29.71
45,65,4,27,5,26.4,4.2,19.02
45,71,4,44,3,30.5,5.3,19.27
73,42,2,16,5,26.4,1.2,20.21
57,74,5,45,1,13.1,5.3,25.37
53,77,2,51,4,46.8,2.5,12.45
76,93,4,46,5,19.9,4.8,11.36
84,86,1,35,3,7.4,3.2,12.43
61,78,5,41,4,48.6,2.6,19.98
90,68,4,17,3,29.9,2.9,23.2
77,82,4,8,5,18.3,2.2,16.35
57,49,4,48,2,38.3,2.6,26.28
40,59,4,26,3,9.6,1.4,23.64
75,75,5,29,1,6.2,2.8,25.69
78,90,3,58,4,5.6,3.1,14.45
86,75,2,39,5,12.6,2.9,11.28
59,57,4,12,1,12.5,2.4,29.62
90,44,3,19,2,37.4,3.5,30.89
69,46,2,22,1,47.7,2.7,27.15
91,95,3,31,3,24.4,5.1,14.37
78,48,3,23,5,47.6,2.0,20.73
65,60,3,50,4,48.5,4.9,17.85
57,92,4,26,1,46.9,2.0,22.18
51,83,5,4,4,47.4,2.0,23.67
93,84,1,55,4,35.3,1.7,8.75
56,82,2,48,4,40.5,1.4,13.35
70,77,4,37,5,46.6,5.3,14.88
42,90,3,47,5,31.7,5.6,8.99
55,82,3,13,5,7.0,5.9,15.35
65,88,3,53,4,9.8,1.5,12.49
87,73,5,40,5,14.9,2.9,20.71
83,77,5,12,3,49.9,3.4,23.38
45,47,2,25,3,20.4,4.9,21.07
62,70,1,31,4,19.4,2.5,13.16
47,41,3,44,1,35.5,1.8,30.77
55,73,2,38,2,19.9,3.1,17.65
91,65,2,14,4,22.8,4.7,20.95
68,77,4,27,1,36.7,2.0,24.51
91,90,1,39,1,41.0,3.7,12.83
52,69,1,19,4,28.7,4.2,12.48
79,65,5,10,3,20.8,3.3,27.47
83,85,3,42,5,8.8,1.7,10.71
59,47,2,26,2,28.0,3.1,22.51
64,67,2,34,5,36.2,4.2,14.51
75,50,4,21,2,13.4,5.2,30.58
95,62,1,34,2,13.8,2.9,21.23
81,71,4,46,4,23.7,5.2,20.04
45,76,1,53,2,18.1,2.4,14.91
50,89,4,39,4,29.7,1.6,13.77
89,74,3,37,1,39.2,3.2,21.9
67,46,2,22,1,25.2,2.7,28.41
68,95,1,52,2,14.4,4.7,11.82
95,85,5,43,4,12.5,1.7,18.95
53,91,1,39,3,29.0,4.0,8.1
85,58,3,39,3,47.9,3.6,24.76
92,46,2,51,4,46.3,6.0,24.48
48,84,2,18,2,37.0,5.1,16.64
83,65,4,12,5,33.5,4.1,21.3
44,80,1,28,5,38.7,4.5,8.85
69,71,3,40,1,44.1,5.2,20.35
69,80,3,57,1,40.8,3.0,22.15
92,53,4,20,3,42.3,2.7,28.34
76,94,4,53,3,45.2,4.8,14.03
80,90,4,4,1,46.8,1.8,24.42
67,52,2,59,3,12.2,5.7,20.83
81,63,3,8,3,34.9,4.2,22.86
80,59,2,30,1,36.7,1.0,24.11
48,77,2,36,4,5.4,4.5,14.71
95,67,2,33,1,15.3,1.4,25.16
46,60,3,59,3,11.2,4.9,22.18
48,81,2,7,5,30.3,4.1,11.8
62,86,2,43,2,46.4,4.1,14.18
53,45,1,11,1,31.5,2.9,27.46
60,90,2,18,3,34.0,2.2,12.88
86,78,3,52,1,43.2,4.3,20.61
73,78,5,15,4,18.3,1.3,23.19
55,71,4,10,2,27.5,4.0,25.59
40,63,3,11,4,43.7,3.8,19.3
83,51,4,52,1,5.8,1.3,31.87
42,43,4,35,3,33.3,3.5,26.06
84,65,1,43,5,29.2,1.8,10.86
45,72,2,54,2,29.1,3.0,18.26
93,81,1,22,4,37.8,5.2,8.6
45,67,1,32,5,32.4,2.5,11.09
87,51,1,3,2,36.6,1.8,28.86
73,73,3,13,3,10.7,4.9,19.4
47,89,1,24,4,17.2,1.3,9.03
76,80,1,34,4,28.0,1.3,11.1
50,63,2,19,1,45.2,4.4,19.76
87,72,1,5,1,16.0,3.4,22.4
49,51,1,38,4,15.1,2.2,17.51
60,57,1,39,3,10.4,4.4,15.3
54,91,5,5,4,8.1,3.3,20.94
94,59,3,8,5,25.6,2.8,22.6
90,59,5,18,4,21.6,5.9,29.64
89,52,5,51,2,11.8,5.7,31.54
74,62,1,24,1,39.2,2.9,21.08
59,46,2,36,2,23.9,5.8,26.27
49,85,3,8,1,46.5,5.5,22.18
84,63,4,50,1,31.1,3.5,29.12
65,44,5,39,1,24.6,5.8,34.01
56,94,3,54,4,36.5,4.7,10.88
57,54,1,15,2,40.1,3.9,18.67
50,68,4,23,4,10.4,2.8,21.17
68,59,4,19,1,9.1,5.0,28.29
85,84,5,5,2,42.6,2.6,24.64
55,62,4,35,1,35.5,2.3,28.5
41,65,4,38,5,16.2,3.3,19.73
48,47,1,6,2,10.9,5.1,23.86
80,81,1,40,5,16.6,5.1,5.89
44,52,4,54,2,9.1,5.2,28.56
47,42,4,6,2,46.6,3.2,33.1
71,41,4,46,4,12.8,2.1,27.16
57,68,2,5,5,32.9,2.2,15.34
66,75,4,6,1,17.6,1.7,26.77
91,73,2,43,5,40.8,5.9,14.1
62,70,5,53,4,20.5,3.8,21.17
57,51,1,23,5,14.9,5.5,15.57
43,91,4,36,3,39.5,6.0,18.51
46,55,2,20,5,41.7,5.6,12.97
54,76,4,25,2,12.9,4.0,23.64
84,62,5,4,3,47.6,3.8,31.12
52,93,4,37,3,12.9,1.2,15.24
78,54,1,36,4,5.0,5.6,16.76
48,61,2,54,3,7.7,1.7,19.39
49,89,1,57,5,43.7,5.8,5.0
82,65,5,9,3,18.6,1.7,28.02
67,90,4,44,3,12.8,5.8,18.39
79,90,3,17,5,41.7,2.9,11.93
58,48,2,49,1,47.7,5.7,24.54
89,76,1,14,5,19.3,5.0,11.97
80,76,1,34,2,19.9,1.4,14.49
60,50,1,55,3,25.1,2.3,17.75
44,62,3,53,1,37.4,1.2,23.73
66,50,4,34,4,20.8,2.9,26.29
90,95,5,44,2,12.3,1.4,22.51
58,41,3,19,1,8.3,1.9,30.5
86,44,5,60,1,20.2,5.9,38.87
85,41,4,44,2,32.3,3.2,31.45
61,53,2,29,5,37.5,4.6,15.14
58,59,2,9,1,22.7,3.7,25.23
43,63,1,30,1,18.3,4.3,19.75
52,46,1,16,2,33.7,5.9,21.78
47,59,4,33,4,45.3,2.3,21.41
64,51,3,59,4,21.6,3.2,21.01
69,56,2,56,3,30.4,1.8,20.97
46,45,3,54,5,23.6,4.8,18.8
43,93,4,55,5,23.8,3.7,14.15
70,76,2,33,3,8.6,5.5,16.4
72,76,5,54,5,35.5,4.1,16.72
88,68,2,13,2,41.4,1.6,21.6
83,67,2,55,2,42.5,2.3,21.57
91,44,1,27,5,22.9,2.6,18.82
69,95,1,53,5,31.4,4.9,5.0
49,49,5,40,5,39.1,5.7,25.23
76,89,1,53,3,44.0,5.4,10.89
56,64,4,39,5,26.3,1.9,18.02
